model,correct,wrong,total,accuracy,wrong_ids
ensemble-all-majority,234,48,282,0.8298,q004;q023;q025;q037;q047;q052;q055;q085;q090;q111;q116;q117;q118;q121;q122;q129;q136;q142;q151;q154;q176;q180;q182;q188;q189;q193;q195;q216;q218;q222;q223;q226;q232;q244;q250;q252;q254;q255;q259;q266;q271;q281;q290;q312;q313;q315;q317;q321
ensemble-top5-majority,232,50,282,0.8227,q004;q023;q025;q030;q037;q047;q052;q055;q085;q090;q111;q116;q117;q118;q121;q122;q129;q142;q151;q154;q176;q180;q182;q188;q189;q193;q194;q195;q216;q218;q222;q223;q226;q232;q244;q250;q252;q254;q255;q259;q266;q271;q281;q290;q293;q312;q313;q315;q317;q321
ensemble-top3-majority,230,52,282,0.8156,q004;q017;q023;q025;q030;q037;q047;q052;q055;q085;q090;q099;q111;q116;q117;q118;q121;q122;q126;q129;q142;q151;q154;q156;q176;q180;q182;q188;q189;q193;q195;q216;q218;q222;q223;q226;q232;q244;q250;q252;q254;q255;q259;q266;q271;q281;q290;q293;q312;q313;q315;q317
qwen3-next-80b-a3b-bench,228,54,282,0.8085,q004;q015;q017;q023;q025;q030;q037;q045;q047;q051;q052;q055;q085;q090;q111;q116;q118;q121;q122;q126;q129;q142;q151;q154;q155;q176;q180;q182;q188;q189;q191;q193;q195;q216;q218;q222;q223;q226;q232;q244;q250;q252;q254;q255;q256;q259;q266;q271;q281;q290;q312;q313;q315;q317
qwen72b-bench,225,57,282,0.7979,q004;q020;q023;q025;q030;q037;q039;q047;q052;q055;q066;q085;q090;q099;q116;q117;q118;q121;q122;q126;q129;q142;q151;q154;q156;q176;q180;q182;q188;q189;q195;q209;q216;q218;q222;q223;q226;q232;q233;q235;q244;q250;q252;q254;q255;q259;q266;q271;q281;q290;q293;q309;q312;q313;q315;q317;q321
qwen32b-bench,222,60,282,0.7872,q004;q015;q017;q023;q025;q037;q047;q052;q055;q085;q090;q099;q111;q116;q117;q118;q121;q122;q129;q142;q151;q154;q156;q171;q176;q180;q182;q188;q189;q193;q194;q195;q208;q216;q218;q222;q223;q225;q226;q232;q244;q250;q252;q254;q255;q259;q266;q269;q271;q273;q281;q290;q293;q307;q311;q312;q313;q315;q317;q321
qwen3-30b-a3b-bench,218,64,282,0.773,q004;q015;q017;q020;q023;q025;q030;q037;q039;q047;q051;q052;q055;q085;q090;q093;q094;q104;q116;q117;q118;q120;q121;q122;q125;q126;q129;q136;q142;q148;q151;q154;q155;q176;q180;q182;q188;q189;q191;q193;q194;q195;q209;q216;q218;q222;q223;q226;q232;q233;q244;q250;q255;q259;q266;q271;q281;q290;q293;q312;q313;q315;q317;q321
qwen7b-bench,209,73,282,0.7411,q004;q016;q017;q022;q023;q025;q026;q037;q039;q043;q045;q047;q052;q055;q058;q061;q072;q085;q090;q096;q116;q118;q121;q122;q126;q129;q136;q142;q144;q151;q154;q174;q175;q176;q180;q182;q183;q188;q189;q191;q195;q208;q209;q216;q218;q219;q220;q222;q223;q226;q227;q232;q233;q244;q250;q252;q255;q259;q260;q261;q266;q267;q271;q273;q274;q281;q290;q302;q309;q312;q315;q317;q321
qwen14b-bench,203,79,282,0.7199,q004;q023;q025;q034;q037;q042;q047;q052;q053;q055;q058;q061;q063;q072;q073;q085;q086;q090;q093;q103;q111;q116;q117;q118;q121;q136;q141;q142;q144;q151;q154;q162;q175;q176;q177;q180;q182;q183;q188;q189;q191;q193;q194;q195;q199;q208;q216;q217;q218;q219;q222;q223;q226;q227;q228;q232;q244;q250;q254;q255;q259;q260;q261;q265;q266;q268;q271;q274;q277;q281;q289;q290;q300;q302;q311;q315;q317;q318;q321
qwen1.5-110b-bench,193,89,282,0.6844,q005;q012;q015;q017;q020;q023;q025;q034;q036;q037;q039;q045;q047;q052;q055;q076;q085;q090;q093;q099;q100;q116;q117;q118;q120;q121;q122;q129;q134;q136;q140;q142;q144;q147;q148;q151;q154;q156;q167;q176;q180;q182;q183;q188;q189;q191;q192;q193;q194;q195;q208;q213;q216;q218;q222;q223;q224;q226;q228;q233;q235;q237;q244;q250;q252;q255;q256;q259;q266;q269;q271;q273;q279;q281;q283;q284;q285;q290;q293;q301;q302;q309;q312;q313;q314;q315;q317;q319;q321
